Ugyfel_kod;Ugyfel_szegmens;Ugyfel_nev;Ugyfel_lakhely;Ugyfel_jovedelem;Ugyfel_netto_arbe;Ugyfel_minosites;Hitel_Szamlaszam;Hitel_devizanem_kod;Hitel_ind_datum;Hitel_lej_datum;hitel_egyenleg_osszeg;hitel_torlesztes_osszeg;hitel_thm;hitel_szerzodes_osszeg;fedezet_kod;fedezet_tipus;fedezet_osszeg;fedezet_devizanem;fedezet_ind_datum;fedezet_leja_datum
9469;L;Nagy;Varos;1200000;;5;12345678-12345678-00000045;EUR;2018. 05. 27.;2038. 05. 01.;12718300;92080,7;0,06;13000000;54;LETET;10160000;HUF;2018. 05. 27.;2019. 10. 23.
9469;L;Nagy;Varos;1200000;;5;12345678-12345678-00000045;EUR;2018. 05. 27.;2038. 05. 01.;12718300;92080,7;0,06;13000000;55;KEZESSEG;5260000;HUF;2018. 05. 27.;
4706;V;Kovacs4706 Kft;Megyeszekhely;;14000000;2;12345678-12345678-00000051;HUF;2017. 01. 11.;2037. 01. 01.;13150900;98955,3;0,06;14000000;57;INGATLAN;16800000;HUF;2017. 01. 11.;
4706;V;Kovacs4706 Kft;Megyeszekhely;;14000000;2;12345678-12345678-00000051;HUF;2017. 01. 11.;2037. 01. 01.;13150900;98955,3;0,06;14000000;58;ALL_GAR;1400000;HUF;2017. 01. 11.;2037. 01. 01.
4706;V;Kovacs4706 Kft;Megyeszekhely;;14000000;2;12345678-12345678-00000051;HUF;2017. 01. 11.;2037. 01. 01.;13150900;98955,3;0,06;14000000;59;BANK_GAR;2810000;HUF;2017. 01. 11.;
4706;V;Kovacs4706 Kft;Megyeszekhely;;14000000;2;12345678-12345678-00000051;HUF;2017. 01. 11.;2037. 01. 01.;13150900;98955,3;0,06;14000000;60;KEZESSEG;7260000;HUF;2017. 01. 11.;
3852;L;Szabo;Megyeszekhely;1100000;;5;12345678-12345678-00000054;EUR;2018. 07. 02.;2038. 07. 01.;11768200;84818,8;0,06;12000000;61;INGATLAN;14400000;EUR;2018. 07. 02.;
3852;L;Szabo;Megyeszekhely;1100000;;5;12345678-12345678-00000054;EUR;2018. 07. 02.;2038. 07. 01.;11768200;84818,8;0,06;12000000;62;ALL_GAR;1200000;EUR;2018. 07. 02.;2038. 07. 01.
3852;L;Szabo;Megyeszekhely;1100000;;5;12345678-12345678-00000054;EUR;2018. 07. 02.;2038. 07. 01.;11768200;84818,8;0,06;12000000;63;KEZESSEG;7810000;HUF;2018. 07. 02.;
3852;L;Szabo;Megyeszekhely;1100000;;5;12345678-12345678-00000054;EUR;2018. 07. 02.;2038. 07. 01.;11768200;84818,8;0,06;12000000;64;LETET;5120000;HUF;2018. 07. 02.;2019. 10. 19.
9725;L;Kovacs;Egyeb;1200000;;2;12345678-12345678-00000057;EUR;2018. 09. 17.;2038. 09. 01.;14806900;106247;0,06;15000000;65;INGATLAN;18000000;EUR;2018. 09. 17.;
9725;L;Kovacs;Egyeb;1200000;;2;12345678-12345678-00000057;EUR;2018. 09. 17.;2038. 09. 01.;14806900;106247;0,06;15000000;66;ALL_GAR;1500000;EUR;2018. 09. 17.;2038. 09. 01.
9725;L;Kovacs;Egyeb;1200000;;2;12345678-12345678-00000057;EUR;2018. 09. 17.;2038. 09. 01.;14806900;106247;0,06;15000000;67;BANK_GAR;8100000;HUF;2018. 09. 17.;
9725;L;Kovacs;Egyeb;1200000;;2;12345678-12345678-00000057;EUR;2018. 09. 17.;2038. 09. 01.;14806900;106247;0,06;15000000;68;KEZESSEG;3590000;USD;2018. 09. 17.;
9725;L;Kovacs;Egyeb;1200000;;2;12345678-12345678-00000057;EUR;2018. 09. 17.;2038. 09. 01.;14806900;106247;0,06;15000000;69;LETET;10020000;USD;2018. 09. 17.;2019. 10. 08.
9642;V;Nagy9642 Kft;Megyeszekhely;;12000000;2;12345678-12345678-00000060;USD;2017. 04. 03.;2037. 04. 01.;7572020;56545,9;0,06;8000000;70;INGATLAN;9600000;USD;2017. 04. 03.;
9642;V;Nagy9642 Kft;Megyeszekhely;;12000000;2;12345678-12345678-00000060;USD;2017. 04. 03.;2037. 04. 01.;7572020;56545,9;0,06;8000000;71;ALL_GAR;800000;USD;2017. 04. 03.;2037. 04. 01.
9642;V;Nagy9642 Kft;Megyeszekhely;;12000000;2;12345678-12345678-00000060;USD;2017. 04. 03.;2037. 04. 01.;7572020;56545,9;0,06;8000000;72;KEZESSEG;7560000;HUF;2017. 04. 03.;
9642;V;Nagy9642 Kft;Megyeszekhely;;12000000;2;12345678-12345678-00000060;USD;2017. 04. 03.;2037. 04. 01.;7572020;56545,9;0,06;8000000;73;KEZESSEG;4380000;HUF;2017. 04. 03.;
9642;V;Nagy9642 Kft;Megyeszekhely;;12000000;2;12345678-12345678-00000060;USD;2017. 04. 03.;2037. 04. 01.;7572020;56545,9;0,06;8000000;74;BANK_GAR;2200000;HUF;2017. 04. 03.;
9642;V;Nagy9642 Kft;Megyeszekhely;;12000000;2;12345678-12345678-00000060;USD;2017. 04. 03.;2037. 04. 01.;7572020;56545,9;0,06;8000000;75;KEZESSEG;6470000;HUF;2017. 04. 03.;
4549;L;Kovacs;Budapest;1500000;;5;12345678-12345678-00000063;HUF;2017. 05. 07.;2037. 05. 01.;12335200;91887;0,06;13000000;76;INGATLAN;15600000;HUF;2017. 05. 07.;
4549;L;Kovacs;Budapest;1500000;;5;12345678-12345678-00000063;HUF;2017. 05. 07.;2037. 05. 01.;12335200;91887;0,06;13000000;77;ALL_GAR;1300000;HUF;2017. 05. 07.;2037. 05. 01.
4549;L;Kovacs;Budapest;1500000;;5;12345678-12345678-00000063;HUF;2017. 05. 07.;2037. 05. 01.;12335200;91887;0,06;13000000;78;KEZESSEG;2720000;HUF;2017. 05. 07.;
4549;L;Kovacs;Budapest;1500000;;5;12345678-12345678-00000063;HUF;2017. 05. 07.;2037. 05. 01.;12335200;91887;0,06;13000000;79;KEZESSEG;2580000;HUF;2017. 05. 07.;
4549;L;Kovacs;Budapest;1500000;;5;12345678-12345678-00000063;HUF;2017. 05. 07.;2037. 05. 01.;12335200;91887;0,06;13000000;80;KEZESSEG;2960000;HUF;2017. 05. 07.;
4549;L;Kovacs;Budapest;1500000;;5;12345678-12345678-00000063;HUF;2017. 05. 07.;2037. 05. 01.;12335200;91887;0,06;13000000;81;BANK_GAR;130000;HUF;2017. 05. 07.;
6078;L;Kovacs;Egyeb;1900000;;2;12345678-12345678-00000066;EUR;2016. 11. 28.;2036. 11. 01.;4682490;35415,7;0,06;5000000;82;INGATLAN;6000000;EUR;2016. 11. 28.;
6078;L;Kovacs;Egyeb;1900000;;2;12345678-12345678-00000066;EUR;2016. 11. 28.;2036. 11. 01.;4682490;35415,7;0,06;5000000;83;ALL_GAR;500000;EUR;2016. 11. 28.;2036. 11. 01.
6078;L;Kovacs;Egyeb;1900000;;2;12345678-12345678-00000066;EUR;2016. 11. 28.;2036. 11. 01.;4682490;35415,7;0,06;5000000;84;KEZESSEG;2260000;HUF;2016. 11. 28.;
6078;L;Kovacs;Egyeb;1900000;;2;12345678-12345678-00000066;EUR;2016. 11. 28.;2036. 11. 01.;4682490;35415,7;0,06;5000000;85;KEZESSEG;2020000;HUF;2016. 11. 28.;
6078;L;Kovacs;Egyeb;1900000;;2;12345678-12345678-00000066;EUR;2016. 11. 28.;2036. 11. 01.;4682490;35415,7;0,06;5000000;86;KEZESSEG;890000;HUF;2016. 11. 28.;
6078;L;Kovacs;Egyeb;1900000;;2;12345678-12345678-00000066;EUR;2016. 11. 28.;2036. 11. 01.;4682490;35415,7;0,06;5000000;87;KEZESSEG;4970000;HUF;2016. 11. 28.;
5105;V;Kovacs5105 Kft;Egyeb;;17000000;4;12345678-12345678-00000072;HUF;2017. 08. 07.;2037. 08. 01.;9558690;70682,3;0,06;10000000;91;INGATLAN;12000000;HUF;2017. 08. 07.;
5105;V;Kovacs5105 Kft;Egyeb;;17000000;4;12345678-12345678-00000072;HUF;2017. 08. 07.;2037. 08. 01.;9558690;70682,3;0,06;10000000;92;ALL_GAR;1000000;HUF;2017. 08. 07.;2037. 08. 01.
5105;V;Kovacs5105 Kft;Egyeb;;17000000;4;12345678-12345678-00000072;HUF;2017. 08. 07.;2037. 08. 01.;9558690;70682,3;0,06;10000000;93;LETET;1260000;HUF;2017. 08. 07.;2019. 04. 12.
5105;V;Kovacs5105 Kft;Egyeb;;17000000;4;12345678-12345678-00000072;HUF;2017. 08. 07.;2037. 08. 01.;9558690;70682,3;0,06;10000000;94;BANK_GAR;870000;HUF;2017. 08. 07.;
5105;V;Kovacs5105 Kft;Egyeb;;17000000;4;12345678-12345678-00000072;HUF;2017. 08. 07.;2037. 08. 01.;9558690;70682,3;0,06;10000000;95;KEZESSEG;30000;HUF;2017. 08. 07.;
5105;V;Kovacs5105 Kft;Egyeb;;17000000;4;12345678-12345678-00000072;HUF;2017. 08. 07.;2037. 08. 01.;9558690;70682,3;0,06;10000000;96;LETET;7660000;HUF;2017. 08. 07.;2021. 09. 12.
716;L;Szabo;Budapest;1800000;;2;12345678-12345678-00000081;EUR;2017. 08. 03.;2037. 08. 01.;9558690;70682,3;0,06;10000000;100;INGATLAN;12000000;HUF;2017. 08. 03.;
716;L;Szabo;Budapest;1800000;;2;12345678-12345678-00000081;EUR;2017. 08. 03.;2037. 08. 01.;9558690;70682,3;0,06;10000000;101;ALL_GAR;1000000;USD;2017. 08. 03.;2037. 08. 01.
716;L;Szabo;Budapest;1800000;;2;12345678-12345678-00000081;EUR;2017. 08. 03.;2037. 08. 01.;9558690;70682,3;0,06;10000000;102;BANK_GAR;9940000;HUF;2017. 08. 03.;
716;L;Szabo;Budapest;1800000;;2;12345678-12345678-00000081;EUR;2017. 08. 03.;2037. 08. 01.;9558690;70682,3;0,06;10000000;103;KEZESSEG;7010000;HUF;2017. 08. 03.;
5529;V;Kovacs5529 Kft;Megyeszekhely;;16000000;2;12345678-12345678-00000087;USD;2018. 02. 03.;2038. 02. 01.;4847870;35341,2;0,06;5000000;107;INGATLAN;6000000;USD;2018. 02. 03.;
5529;V;Kovacs5529 Kft;Megyeszekhely;;16000000;2;12345678-12345678-00000087;USD;2018. 02. 03.;2038. 02. 01.;4847870;35341,2;0,06;5000000;108;ALL_GAR;500000;USD;2018. 02. 03.;2038. 02. 01.
5529;V;Kovacs5529 Kft;Megyeszekhely;;16000000;2;12345678-12345678-00000087;USD;2018. 02. 03.;2038. 02. 01.;4847870;35341,2;0,06;5000000;109;KEZESSEG;270000;HUF;2018. 02. 03.;
5529;V;Kovacs5529 Kft;Megyeszekhely;;16000000;2;12345678-12345678-00000087;USD;2018. 02. 03.;2038. 02. 01.;4847870;35341,2;0,06;5000000;110;BANK_GAR;360000;HUF;2018. 02. 03.;
6553;L;Szabo;Budapest;1100000;;3;12345678-12345678-00000096;HUF;2016. 08. 10.;2036. 08. 01.;10172000;77750,6;0,06;11000000;116;INGATLAN;13200000;HUF;2016. 08. 10.;
6553;L;Szabo;Budapest;1100000;;3;12345678-12345678-00000096;HUF;2016. 08. 10.;2036. 08. 01.;10172000;77750,6;0,06;11000000;117;ALL_GAR;1100000;HUF;2016. 08. 10.;2036. 08. 01.
6553;L;Szabo;Budapest;1100000;;3;12345678-12345678-00000096;HUF;2016. 08. 10.;2036. 08. 01.;10172000;77750,6;0,06;11000000;118;BANK_GAR;8680000;HUF;2016. 08. 10.;
6553;L;Szabo;Budapest;1100000;;3;12345678-12345678-00000096;HUF;2016. 08. 10.;2036. 08. 01.;10172000;77750,6;0,06;11000000;119;KEZESSEG;7010000;HUF;2016. 08. 10.;
3217;L;Szabo;Budapest;2000000;;5;12345678-12345678-00000099;EUR;2017. 06. 15.;2037. 06. 01.;7609670;56545,9;0,06;8000000;120;INGATLAN;9600000;EUR;2017. 06. 15.;
3217;L;Szabo;Budapest;2000000;;5;12345678-12345678-00000099;EUR;2017. 06. 15.;2037. 06. 01.;7609670;56545,9;0,06;8000000;121;ALL_GAR;800000;EUR;2017. 06. 15.;2037. 06. 01.
3217;L;Szabo;Budapest;2000000;;5;12345678-12345678-00000099;EUR;2017. 06. 15.;2037. 06. 01.;7609670;56545,9;0,06;8000000;122;BANK_GAR;7330000;HUF;2017. 06. 15.;
6106;L;Kovacs;Megyeszekhely;1800000;;2;12345678-12345678-00000111;HUF;2016. 08. 05.;2036. 08. 01.;12946200;98955,3;0,06;14000000;134;INGATLAN;16800000;HUF;2016. 08. 05.;
6106;L;Kovacs;Megyeszekhely;1800000;;2;12345678-12345678-00000111;HUF;2016. 08. 05.;2036. 08. 01.;12946200;98955,3;0,06;14000000;135;ALL_GAR;1400000;HUF;2016. 08. 05.;2036. 08. 01.
6106;L;Kovacs;Megyeszekhely;1800000;;2;12345678-12345678-00000111;HUF;2016. 08. 05.;2036. 08. 01.;12946200;98955,3;0,06;14000000;136;LETET;12460000;HUF;2016. 08. 05.;2020. 10. 19.
6106;L;Kovacs;Megyeszekhely;1800000;;2;12345678-12345678-00000111;HUF;2016. 08. 05.;2036. 08. 01.;12946200;98955,3;0,06;14000000;137;BANK_GAR;11520000;HUF;2016. 08. 05.;
6106;L;Kovacs;Megyeszekhely;1800000;;2;12345678-12345678-00000111;HUF;2016. 08. 05.;2036. 08. 01.;12946200;98955,3;0,06;14000000;138;KEZESSEG;4670000;EUR;2016. 08. 05.;
6106;L;Kovacs;Megyeszekhely;1800000;;2;12345678-12345678-00000111;HUF;2016. 08. 05.;2036. 08. 01.;12946200;98955,3;0,06;14000000;139;KEZESSEG;2590000;EUR;2016. 08. 05.;
7812;L;Szabo;Budapest;1400000;;3;12345678-12345678-00000126;HUF;2017. 06. 12.;2037. 06. 01.;12365700;91887;0,06;13000000;144;INGATLAN;15600000;HUF;2017. 06. 12.;
7812;L;Szabo;Budapest;1400000;;3;12345678-12345678-00000126;HUF;2017. 06. 12.;2037. 06. 01.;12365700;91887;0,06;13000000;145;ALL_GAR;1300000;HUF;2017. 06. 12.;2037. 06. 01.
7812;L;Szabo;Budapest;1400000;;3;12345678-12345678-00000126;HUF;2017. 06. 12.;2037. 06. 01.;12365700;91887;0,06;13000000;146;KEZESSEG;9020000;HUF;2017. 06. 12.;
7812;L;Szabo;Budapest;1400000;;3;12345678-12345678-00000126;HUF;2017. 06. 12.;2037. 06. 01.;12365700;91887;0,06;13000000;147;BANK_GAR;10520000;HUF;2017. 06. 12.;
7812;L;Szabo;Budapest;1400000;;3;12345678-12345678-00000126;HUF;2017. 06. 12.;2037. 06. 01.;12365700;91887;0,06;13000000;148;KEZESSEG;10690000;HUF;2017. 06. 12.;
7812;L;Szabo;Budapest;1400000;;3;12345678-12345678-00000126;HUF;2017. 06. 12.;2037. 06. 01.;12365700;91887;0,06;13000000;149;KEZESSEG;10080000;HUF;2017. 06. 12.;
9696;L;Nagy;Budapest;1300000;;5;12345678-12345678-00000135;HUF;2017. 01. 06.;2037. 01. 01.;13150900;98955,3;0,06;14000000;155;INGATLAN;16800000;HUF;2017. 01. 06.;
9696;L;Nagy;Budapest;1300000;;5;12345678-12345678-00000135;HUF;2017. 01. 06.;2037. 01. 01.;13150900;98955,3;0,06;14000000;156;ALL_GAR;1400000;HUF;2017. 01. 06.;2037. 01. 01.
9696;L;Nagy;Budapest;1300000;;5;12345678-12345678-00000135;HUF;2017. 01. 06.;2037. 01. 01.;13150900;98955,3;0,06;14000000;157;KEZESSEG;10560000;HUF;2017. 01. 06.;
9696;L;Nagy;Budapest;1300000;;5;12345678-12345678-00000135;HUF;2017. 01. 06.;2037. 01. 01.;13150900;98955,3;0,06;14000000;158;KEZESSEG;3160000;HUF;2017. 01. 06.;
9696;L;Nagy;Budapest;1300000;;5;12345678-12345678-00000135;HUF;2017. 01. 06.;2037. 01. 01.;13150900;98955,3;0,06;14000000;159;BANK_GAR;610000;HUF;2017. 01. 06.;
3961;L;Szabo;Budapest;1100000;;4;12345678-12345678-00000141;HUF;2016. 10. 07.;2036. 10. 01.;11185200;84818,8;0,06;12000000;163;INGATLAN;14400000;HUF;2016. 10. 07.;
3961;L;Szabo;Budapest;1100000;;4;12345678-12345678-00000141;HUF;2016. 10. 07.;2036. 10. 01.;11185200;84818,8;0,06;12000000;164;ALL_GAR;1200000;HUF;2016. 10. 07.;2036. 10. 01.
3961;L;Szabo;Budapest;1100000;;4;12345678-12345678-00000141;HUF;2016. 10. 07.;2036. 10. 01.;11185200;84818,8;0,06;12000000;165;LETET;8430000;HUF;2016. 10. 07.;2021. 05. 23.
3961;L;Szabo;Budapest;1100000;;4;12345678-12345678-00000141;HUF;2016. 10. 07.;2036. 10. 01.;11185200;84818,8;0,06;12000000;166;KEZESSEG;7380000;HUF;2016. 10. 07.;
3961;L;Szabo;Budapest;1100000;;4;12345678-12345678-00000141;HUF;2016. 10. 07.;2036. 10. 01.;11185200;84818,8;0,06;12000000;167;BANK_GAR;1990000;HUF;2016. 10. 07.;
3961;L;Szabo;Budapest;1100000;;4;12345678-12345678-00000141;HUF;2016. 10. 07.;2036. 10. 01.;11185200;84818,8;0,06;12000000;168;LETET;5960000;HUF;2016. 10. 07.;2020. 03. 04.
1213;L;Szabo;Budapest;2000000;;2;12345678-12345678-00000144;USD;2019. 01. 27.;2039. 01. 01.;8961770;63748,2;0,06;9000000;169;INGATLAN;10800000;USD;2019. 01. 27.;
1213;L;Szabo;Budapest;2000000;;2;12345678-12345678-00000144;USD;2019. 01. 27.;2039. 01. 01.;8961770;63748,2;0,06;9000000;170;ALL_GAR;900000;USD;2019. 01. 27.;2039. 01. 01.
1213;L;Szabo;Budapest;2000000;;2;12345678-12345678-00000144;USD;2019. 01. 27.;2039. 01. 01.;8961770;63748,2;0,06;9000000;171;LETET;120000;HUF;2019. 01. 27.;2019. 05. 23.
7898;L;Nagy;Egyeb;1400000;;3;12345678-12345678-00000147;USD;2017. 05. 24.;2037. 05. 01.;12361200;92080,7;0,06;13000000;172;INGATLAN;15600000;USD;2017. 05. 24.;
7898;L;Nagy;Egyeb;1400000;;3;12345678-12345678-00000147;USD;2017. 05. 24.;2037. 05. 01.;12361200;92080,7;0,06;13000000;173;ALL_GAR;1300000;USD;2017. 05. 24.;2037. 05. 01.
7898;L;Nagy;Egyeb;1400000;;3;12345678-12345678-00000147;USD;2017. 05. 24.;2037. 05. 01.;12361200;92080,7;0,06;13000000;174;LETET;5290000;HUF;2017. 05. 24.;2021. 01. 04.
7898;L;Nagy;Egyeb;1400000;;3;12345678-12345678-00000147;USD;2017. 05. 24.;2037. 05. 01.;12361200;92080,7;0,06;13000000;175;KEZESSEG;1170000;HUF;2017. 05. 24.;
5908;L;Kiss;Megyeszekhely;1200000;;2;12345678-12345678-00000150;HUF;2018. 04. 01.;2038. 04. 01.;8766460;63614,1;0,06;9000000;176;INGATLAN;10800000;HUF;2018. 04. 01.;
